iter	Logloss
0	0.6260594833
1	0.5663832843
2	0.5143476093
3	0.4632113672
4	0.4141506592
5	0.3859847819
6	0.35343329
7	0.319523316
8	0.2879257501
9	0.2638908065
10	0.2409248264
11	0.2258437708
12	0.2076400799
13	0.1964531386
14	0.187563937
15	0.1747645691
16	0.1646685507
17	0.1532409636
18	0.1442874883
19	0.1342352401
20	0.1283114221
21	0.1228943793
22	0.1169818272
23	0.1127716367
24	0.1074438937
25	0.1034718886
26	0.09984539009
27	0.09614769242
28	0.0911452577
29	0.0876379764
30	0.08426513469
31	0.08089133262
32	0.07817340048
33	0.07617243301
34	0.07359542169
35	0.07070982608
36	0.06807205317
37	0.06560528634
38	0.06462915473
39	0.06380989859
40	0.06222179381
41	0.06206706867
42	0.06110250105
43	0.05940402712
44	0.057508657
45	0.05625047219
46	0.05531230294
47	0.05437357455
48	0.05370672253
49	0.05256700845
50	0.05193555114
51	0.05106649513
52	0.05043438337
53	0.04956230141
54	0.04834252119
55	0.04751383618
56	0.04685568813
57	0.04626903333
58	0.04564065367
59	0.04453581652
60	0.04348630301
61	0.04220372509
62	0.04127249952
63	0.04063984298
64	0.03966493428
65	0.03842932329
66	0.03725775768
67	0.03638379429
68	0.03576099975
69	0.03522449177
70	0.03456941954
71	0.03385092262
72	0.0333138085
73	0.03250805136
74	0.03204433585
75	0.0314126986
76	0.03109332191
77	0.03081634157
78	0.03032810261
79	0.0297975133
80	0.02929201841
81	0.02875616448
82	0.0282980935
83	0.02812122986
84	0.02766058821
85	0.02714313986
86	0.02679215941
87	0.02648210419
88	0.02606209484
89	0.0257568308
90	0.02540683312
91	0.02468135747
92	0.02435731659
93	0.02420595956
94	0.02371821882
95	0.02315551681
96	0.02282237782
97	0.02255735663
98	0.02230777241
99	0.02203077329
100	0.02168087022
101	0.02134897786
102	0.02092926371
103	0.0207517403
104	0.02033368995
105	0.02006364751
106	0.01970296861
107	0.01935862577
108	0.01896373614
109	0.01879145974
110	0.01873312851
111	0.01848947162
112	0.01815320554
113	0.01794803251
114	0.01779327761
115	0.01757589295
116	0.01739332679
117	0.01718742079
118	0.01661050449
119	0.01625466708
120	0.01600471715
121	0.01578822322
122	0.01567649802
123	0.01537808812
124	0.01516966708
125	0.01506572377
126	0.01496176538
127	0.01459395511
128	0.01431905422
129	0.01411532463
130	0.01389777957
131	0.013762979
132	0.01361686891
133	0.01343566718
134	0.01325750089
135	0.01311658454
136	0.01294219855
137	0.01284524048
138	0.01269772431
139	0.01264684632
140	0.01255082337
141	0.01246265906
142	0.01230631828
143	0.01222602504
144	0.01199870495
145	0.011865537
146	0.01177367643
147	0.01164400982
148	0.01156050133
149	0.0113922865
150	0.01137878311
151	0.01130407185
152	0.01125772544
153	0.01115401176
154	0.01114487829
155	0.01113647713
156	0.0110363362
157	0.0110242728
158	0.01101470752
159	0.01089548085
160	0.01087523499
161	0.0108622394
162	0.010736047
163	0.0107302207
164	0.01071621372
165	0.01069879796
166	0.01069202514
167	0.01063912784
168	0.01044639192
169	0.0102910143
170	0.01028352496
171	0.01026969058
172	0.01026144729
173	0.01010365252
174	0.009928581117
175	0.009814260319
176	0.009752660257
177	0.009752490482
178	0.009747868588
179	0.009602663957
180	0.009551141462
181	0.009481558912
182	0.009481641703
183	0.00941738308
184	0.009373406927
185	0.00933231362
186	0.009260085853
187	0.009181570868
188	0.009159656295
189	0.009159631143
190	0.009121197726
191	0.00900394115
192	0.008859004506
193	0.008856828611
194	0.008852319415
195	0.008784039009
196	0.00868292358
197	0.008619631753
198	0.008558900134
199	0.008499892017
